datetime,values
2016-04-28 11:00:00,3491
2016-04-28 12:00:00,3309
2016-04-28 13:00:00,3439
2016-04-28 14:00:00,3426
2016-04-28 15:00:00,3379
2016-04-28 16:00:00,3378
2016-04-28 17:00:00,3333
2016-04-28 18:00:00,3366
2016-04-28 19:00:00,3248
2016-04-28 20:00:00,3084
2016-04-28 21:00:00,2929
2016-04-28 22:00:00,2853
2016-04-28 23:00:00,2672
