"2011年国際航空旅客動態調査","　","　"
"03_ハワイ","17_オセアニア","0"
"04_グアム・サイパン","17_オセアニア","1316"
"05_香港・マカオ","17_オセアニア","0"
"06_台湾","17_オセアニア","41"
"07_韓国","17_オセアニア","12578"
"08_中国","17_オセアニア","0"
"09_マレーシア","17_オセアニア","0"
"10_シンガポール","17_オセアニア","0"
"11_タイ","17_オセアニア","0"
"12_ベトナム","17_オセアニア","504"
"13_インドネシア","17_オセアニア","0"
"14_フィリピン","17_オセアニア","101"
"15_西南アジア","17_オセアニア","0"
"16_中近東","17_オセアニア","0"
"17_オセアニア","17_オセアニア","0"
"18_ヨーロッパ","17_オセアニア","67671"
"19_アフリカ","17_オセアニア","0"
"20_中南米","17_オセアニア","0"
"01_北米西海岸","18_ヨーロッパ","2937"
"02_北米東海岸","18_ヨーロッパ","0"
"03_ハワイ","18_ヨーロッパ","0"
"04_グアム・サイパン","18_ヨーロッパ","3062"
"05_香港・マカオ","18_ヨーロッパ","0"
"06_台湾","18_ヨーロッパ","0"
"07_韓国","18_ヨーロッパ","18592"
"08_中国","18_ヨーロッパ","0"
"09_マレーシア","18_ヨーロッパ","0"
"10_シンガポール","18_ヨーロッパ","0"
"11_タイ","18_ヨーロッパ","0"
"12_ベトナム","18_ヨーロッパ","464"
"13_インドネシア","18_ヨーロッパ","2937"
"14_フィリピン","18_ヨーロッパ","0"
"15_西南アジア","18_ヨーロッパ","0"
"16_中近東","18_ヨーロッパ","0"
"17_オセアニア","18_ヨーロッパ","37826"
"18_ヨーロッパ","18_ヨーロッパ","0"
"19_アフリカ","18_ヨーロッパ","2517"
"20_中南米","18_ヨーロッパ","0"
"01_北米西海岸","19_アフリカ","0"
"02_北米東海岸","19_アフリカ","0"
"03_ハワイ","19_アフリカ","0"
"04_グアム・サイパン","19_アフリカ","0"
"05_香港・マカオ","19_アフリカ","0"
"06_台湾","19_アフリカ","0"
"07_韓国","19_アフリカ","0"
"08_中国","19_アフリカ","0"
"09_マレーシア","19_アフリカ","0"
"10_シンガポール","19_アフリカ","0"
"11_タイ","19_アフリカ","0"
"12_ベトナム","19_アフリカ","0"
"13_インドネシア","19_アフリカ","0"
"14_フィリピン","19_アフリカ","0"
"15_西南アジア","19_アフリカ","0"
"16_中近東","19_アフリカ","0"
"17_オセアニア","19_アフリカ","0"
"18_ヨーロッパ","19_アフリカ","0"
"19_アフリカ","19_アフリカ","0"
"20_中南米","19_アフリカ","0"
"01_北米西海岸","20_中南米","0"
"02_北米東海岸","20_中南米","0"
"03_ハワイ","20_中南米","0"
"04_グアム・サイパン","20_中南米","0"
"05_香港・マカオ","20_中南米","0"
"06_台湾","20_中南米","0"
"07_韓国","20_中南米","0"
"08_中国","20_中南米","1944"
"09_マレーシア","20_中南米","0"
"10_シンガポール","20_中南米","0"
"11_タイ","20_中南米","0"
"12_ベトナム","20_中南米","0"
"13_インドネシア","20_中南米","0"
"14_フィリピン","20_中南米","361"
"15_西南アジア","20_中南米","0"
"16_中近東","20_中南米","0"
"17_オセアニア","20_中南米","0"
"18_ヨーロッパ","20_中南米","0"
"19_アフリカ","20_中南米","0"
"20_中南米","20_中南米","0"
