time,latitude,longitude,depth,mag
2016-04-17T07:04:55.600Z,"19.6725","-63.6862",79,"3.4"
2016-04-17T06:32:42.170Z,"13.7757","-92.3596","37.73","4.5"
2016-04-17T05:50:38.000Z,"59.83","-152.9102","102.3","2.7"
2016-04-17T05:42:51.660Z,"0.274","-80.4265",10,"4.5"
2016-04-17T05:37:50.000Z,"62.3543","-149.1366","2.1","2.5"
2016-04-17T04:57:24.000Z,"59.7493","-153.1718","105.4","2.9"
2016-04-17T04:55:26.000Z,"61.9923","-149.5569","41.7",4
2016-04-17T04:06:23.903Z,"36.4717","-113.9735","4.8","3.7"
2016-04-17T04:02:08.820Z,"-0.2586","-80.6308",10,"4.8"
2016-04-17T03:59:51.240Z,"40.9185","-123.4536667","28.51","2.64"
2016-04-17T03:16:39.300Z,"18.8132","-64.4233",40,"2.8"
2016-04-17T03:05:33.920Z,"0.3132","-80.2516",10,"4.5"
2016-04-17T02:18:01.070Z,"-0.2966","-80.3366",10,"4.8"
2016-04-17T00:59:07.290Z,"0.356","-80.339","27.25","4.5"
2016-04-17T00:29:32.100Z,"-0.2911","-80.4716","14.24","5.4"
2016-04-17T00:27:57.850Z,"37.6346667","-118.961","5.23","2.87"
2016-04-17T00:02:00.700Z,"18.6231","-65.185",70,"3.1"
2016-04-16T23:58:37.280Z,"0.3715","-79.9398","19.16","7.8"
2016-04-16T23:47:44.110Z,"0.277","-80.0744","33.01","4.8"
2016-04-16T23:37:00.390Z,"4.005","126.573",10,"4.4"
2016-04-16T23:10:38.000Z,"57.0098","-158.0453","13.9","2.8"
2016-04-16T22:24:08.000Z,"61.8914","-149.3084","43.6","2.7"
2016-04-16T21:09:12.660Z,"0.5041","97.9727",10,"5.1"
2016-04-16T20:24:28.000Z,"51.2568","-179.4463","25.8","4.1"
2016-04-16T19:48:15.000Z,"54.3874","-161.5257","25.6","2.5"
2016-04-16T19:46:50.940Z,"32.7247","130.6802",10,"4.6"
