年月	平均気温(℃)	降水量の合計(mm)	平均湿度(％)	日照時間(時間)	日最高気温の平均(℃)	日最低気温の平均(℃)
2002-01-01	7.4	98.5	46	201.9	11.5	3.4
2002-02-01	7.9	25	48	163.5	11.9	4.4
2002-03-01	12.2	82	49	191.3	16.5	8.1
2002-04-01	16.1	58	57	164.2	20.3	12.4
2002-05-01	18.4	112.5	64	153	22.3	15.3
2002-06-01	21.6	151.5	69	123.3	25.3	18.6
2002-07-01	28	124	70	189.5	31.7	25.1
2002-08-01	28	120	66	231	32.1	24.8
2002-09-01	23.1	207	69	117.3	26.2	20.4
2002-10-01	19	194	62	183.4	22.6	15.5
2002-11-01	11.6	27.5	50	140.9	15.2	8.2
2002-12-01	7.2	94.5	57	130.7	10.4	4.1
2003-01-01	5.5	101	46	208	9.3	2
2003-02-01	6.4	53.5	52	154	9.9	3.2
2003-03-01	8.7	159.5	49	203.8	12.7	5.1
2003-04-01	15.1	121	61	162.6	19.2	11.5
2003-05-01	18.8	172.5	65	145.6	22.4	15.5
2003-06-01	23.2	85	69	103.6	26.6	20.2
2003-07-01	22.8	187.5	75	48.2	26	20.1
2003-08-01	26	370	73	130.3	29.5	23.1
2003-09-01	24.2	150	66	160.2	28.1	21
2003-10-01	17.8	171.5	59	137.6	21.4	14.6
2003-11-01	14.4	229.5	67	87.9	17.4	11.5
2003-12-01	9.2	53	50	181.4	13.2	5.7
2004-01-01	6.3	3.5	43	203.6	10.1	3.1
2004-02-01	8.5	20	45	218.3	12.9	4.3
2004-03-01	9.8	129.5	53	170.9	14	5.7
2004-04-01	16.4	69.5	51	235.4	21.3	11.7
2004-05-01	19.6	149	67	139.9	23.7	16.1
2004-06-01	23.7	112.5	66	170.6	27.5	20.3
2004-07-01	28.5	23.5	62	232.2	33.1	25
2004-08-01	27.2	79.5	65	177.8	31	24.1
2004-09-01	25.1	195	68	140	28.7	22.2
2004-10-01	17.5	780	69	116.8	20.7	14.8
2004-11-01	15.6	108.5	60	160.9	19	12.7
2004-12-01	9.9	79.5	49	166.3	13.4	6.6
2005-01-01	6.1	77	47	200	10	2.6
2005-02-01	6.2	48	45	148.9	9.9	2.5
2005-03-01	9	71	49	175.1	13.1	5
2005-04-01	15.1	81	54	216.1	19.6	10.7
2005-05-01	17.7	180.5	58	172.3	21.9	14.1
2005-06-01	23.2	170.5	70	119.3	26.7	20.2
2005-07-01	25.6	247.5	71	103.9	29.1	22.6
2005-08-01	28.1	189.5	68	159.9	31.8	25.1
2005-09-01	24.7	177.5	67	154.2	28.2	21.8
2005-10-01	19.2	201.5	69	108.3	22.3	16.6
2005-11-01	13.3	34.5	52	194.6	17	9.6
2005-12-01	6.4	3.5	39	212.4	10.2	2.9
2006-01-01	5.1	67	44	169.9	8.5	2
2006-02-01	6.7	113	53	128.5	10.5	3.3
2006-03-01	9.8	79.5	48	176.2	14	5.9
2006-04-01	13.6	123	57	147	17.5	10.1
2006-05-01	19	99	65	136.7	22.7	15.7
2006-06-01	22.5	138.5	71	79.5	25.4	20.1
2006-07-01	25.6	165	74	59.2	28.6	23.3
2006-08-01	27.5	126	69	160.6	31.1	24.8
2006-09-01	23.5	175.5	68	103.5	27.1	20.7
2006-10-01	19.5	318	66	137.8	22.9	16.7
2006-11-01	14.4	135	59	147.5	17.9	11
2006-12-01	9.5	200.5	52	141.4	12.5	6.7
2007-01-01	7.6	42	45	175.6	10.9	4.6
2007-02-01	8.6	57	45	193.6	12.8	5
2007-03-01	10.8	77	44	195	15	6.8
2007-04-01	13.7	134	59	151	17.9	9.9
2007-05-01	19.8	115.5	58	226.4	24	16
2007-06-01	23.2	80	66	187.2	27.1	20
2007-07-01	24.4	253	74	80.6	27.4	21.8
2007-08-01	29	9.5	66	227.9	33	25.9
2007-09-01	25.2	319.5	71	121.3	28.5	22.4
2007-10-01	19	135.5	63	119.8	22.2	16.1
2007-11-01	13.3	37	56	148.8	16.6	10.2
2007-12-01	9	72	54	168.8	12.6	5.6
2008-01-01	5.9	17.5	45	164.8	9.4	2.7
2008-02-01	5.5	57	41	214.8	9.6	1.9
2008-03-01	10.7	119.5	52	187.2	14.9	7.2
2008-04-01	14.7	240	59	150	18.4	11.4
2008-05-01	18.5	255	65	136.9	22	15.4
2008-06-01	21.3	225.5	72	106.9	24.6	18.4
2008-07-01	27	48	71	168.4	30.9	24.2
2008-08-01	26.8	387.5	74	130	30.7	24.1
2008-09-01	24.4	158.5	69	124.1	27.7	21.7
2008-10-01	19.4	204.5	66	141	22.6	16.4
2008-11-01	13.1	74	56	142.9	16.4	10
2008-12-01	9.8	70.5	53	190.8	13.7	6
2009-01-01	6.8	142	48	174.7	10.2	3.5
2009-02-01	7.8	46.5	50	131.2	11.5	4.4
2009-03-01	10	98.5	48	162.9	13.7	6.3
2009-04-01	15.7	162.5	54	226.7	20.2	11.9
2009-05-01	20.1	242	64	154.6	23.6	16.9
2009-06-01	22.5	226	72	98.8	25.8	19.8
2009-07-01	26.3	78.5	72	103.5	29.3	23.5
2009-08-01	26.6	242	69	136.1	30.1	23.8
2009-09-01	23	53	64	136.5	26.5	20.2
2009-10-01	19	276.5	64	153.3	22.3	16
2009-11-01	13.5	151.5	63	124	17	10.1
2009-12-01	9	82.5	51	181	12.4	6.2
2010-01-01	7	9	41	221.9	11	3
2010-02-01	6.5	115	60	118.3	9.9	3
2010-03-01	9.1	143.5	61	139.8	13.2	5.1
2010-04-01	12.4	214	62	139.9	16.6	8.6
2010-05-01	19	114	60	198.8	23	15.4
2010-06-01	23.6	108	67	162.5	27.5	20.5
2010-07-01	28	70	70	182.7	31.6	25
2010-08-01	29.6	27	67	222.6	33.5	27
2010-09-01	25.1	428	68	165.3	29	22.3
2010-10-01	18.9	211	68	81.4	21.8	16.5
2010-11-01	13.5	94.5	56	158.9	17.2	10
2010-12-01	9.9	145.5	50	194.9	13.7	6.2
2011-01-01	5.1	3.5	36	243.9	9.1	1.5
2011-02-01	7	151	52	148.9	11.2	3.2
2011-03-01	8.1	74	47	214.8	12.3	4
2011-04-01	14.5	96	50	204	18.9	10.3
2011-05-01	18.5	213.5	63	146.3	22.2	15
2011-06-01	22.8	116.5	71	105.1	26	19.9
2011-07-01	27.3	54.5	67	186.2	30.9	24.5
2011-08-01	27.5	244	71	168.9	31.2	24.6
2011-09-01	25.1	235	68	165.8	28.8	22
2011-10-01	19.5	119.5	61	141.3	23	16.5
2011-11-01	14.9	112.5	58	143.4	18.3	11.7
2011-12-01	7.5	59.5	48	187.6	11.1	4.2
2012-01-01	4.8	50	43	183	8.3	1.8
2012-02-01	5.4	94	49	148.6	9.1	2.2
2012-03-01	8.8	144.5	59	149.7	12.5	5.3
2012-04-01	14.5	118.5	63	162.4	18.5	11
2012-05-01	19.6	231	65	195.4	23.6	16.1
2012-06-01	21.4	185	73	125.3	24.8	18.6
2012-07-01	26.4	130	75	181.3	30.1	23.5
2012-08-01	29.1	25	69	236	33.1	26.3
2012-09-01	26.2	214.5	73	164.4	29.8	23.3
2012-10-01	19.4	154.5	65	156.6	23	16.2
2012-11-01	12.7	154	58	153.3	16.3	9.6
2012-12-01	7.3	69	52	166.9	11.2	3.8
2013-01-01	5.5	70	47	212.5	9.6	1.8
2013-02-01	6.2	30	48	173.7	10.3	2.7
2013-03-01	12.1	44.5	55	190.1	16.4	7.9
2013-04-01	15.2	283	55	196	19.2	10.8
2013-05-01	19.8	56	61	227.1	24.1	16
2013-06-01	22.9	159	74	123.9	26.5	20
2013-07-01	27.3	115.5	73	163.4	31.4	24.2
2013-08-01	29.2	99	70	210.6	33.2	26
2013-09-01	25.2	231.5	69	164.2	28.8	21.8
2013-10-01	19.8	440	72	110.4	23	17
2013-11-01	13.5	26	55	177.4	17.4	9.8
2013-12-01	8.3	59.5	52	181.8	12.1	4.9
2014-01-01	6.3	24.5	45	204.1	10.6	2.5
2014-02-01	5.9	157.5	52	139.8	9.8	2.8
2014-03-01	10.4	113.5	52	205	14.5	6.7
2014-04-01	15	155	56	218.3	19.6	11
2014-05-01	20.3	135.5	62	236.5	24.7	16.7
2014-06-01	23.4	311	75	143	26.9	20.7
2014-07-01	26.8	105.5	74	175.6	30.5	23.9
2014-08-01	27.7	105	74	180.9	31.2	24.8
2014-09-01	23.2	155.5	68	145.8	26.9	20.1
2014-10-01	19.1	384.5	67	135.2	23	16
2014-11-01	14.2	98.5	63	134.6	17.4	11.3
2014-12-01	6.7	62	55	185.2	11	2.8
2015-01-01	5.8	92.5	52	182	10.4	1.8
2015-02-01	5.7	62	59	166.9	10.4	1.9
2015-03-01	10.3	94	57	194.2	15.5	5.8
2015-04-01	14.5	129	71	149.5	19.3	10.1
2015-05-01	21.1	88	62	240.6	26.4	16.6
2015-06-01	22.1	195.5	75	137.3	26.4	18.6
2015-07-01	26.2	234.5	80	181.8	30.1	23.2
2015-08-01	30.2	0	72	30.5	35.1	26.3
