年月	平均気温(℃)	降水量の合計(mm)	平均湿度(％)	日照時間(時間)	日最高気温の平均(℃)	日最低気温の平均(℃)
1916-06-01	22.7	141.1	80	201.6	27.1	19.1
1916-07-01	23.9	319.2	84	160.4	28.1	20.9
1916-08-01	25	202.8	83	163.4	29.2	22.1
1916-09-01	23.7	170.6	83	170.9	28.2	20.2
1916-10-01	15.8	301.5	84	87.5	19.8	12.8
1916-11-01	11.3	267.9	81	134.5	15.9	7.4
1916-12-01	6.8	51.1	71	157.5	11.2	2.8
1917-01-01	2.3	33	59	213.9	8.4	-2.5
1917-02-01	4.5	15.5	56	202.3	10.4	-0.7
1917-03-01	6.5	170.2	66	187.4	11.2	2.1
1917-04-01	12.7	80.5	69	210.9	17.6	8
1917-05-01	15.8	72.3	73	238.3	20.8	10.6
1917-06-01	19.6	177.4	82	152	23.5	16.2
1917-07-01	25.7	17	79	240.7	30.3	22
1917-08-01	25	45.3	80	186.8	29.4	21.5
1917-09-01	22	255.4	87	85.3	25.4	19.4
1917-10-01	16.8	355.2	82	112.2	20.6	13.3
1917-11-01	8.7	81.7	69	184.9	13.9	4.2
1917-12-01	4	4.4	59	231	10.4	-1.2
1918-01-01	1.6	10	55	219.2	7.3	-3.4
1918-02-01	3.6	64.9	62	168.1	8.8	-0.9
1918-03-01	6.7	162.9	65	202.1	11.6	2.6
1918-04-01	11.7	107.9	73	168.9	16.5	7.5
1918-05-01	16.7	123.2	76	207.9	21.4	12
