time,latitude,longitude,gids
2016-6-8T10:44:17,"35.47219038","139.586693","184"
2016-6-8T10:44:18,"35.47219039","139.58669301","184"
2016-6-8T10:44:19,"35.47219038","139.586693","184"
2016-6-8T10:44:20,"35.4721904","139.58669302","184"
2016-6-8T10:44:23,"35.4721904","139.58669302","184"
2016-6-8T10:44:24,"35.4721904","139.58669301","184"
2016-6-8T10:44:25,"35.4721904","139.58669301","184"
2016-6-8T10:44:28,"35.47219041","139.58669301","184"
2016-6-8T10:44:29,"35.47219042","139.58669301","184"
2016-6-8T10:44:29,"35.47219042","139.58669301","184"
2016-6-8T10:44:30,"35.47219043","139.58669302","184"
2016-6-8T10:44:30,"35.47219043","139.58669302","184"
2016-6-8T10:44:31,"35.47219043","139.58669303","184"
2016-6-8T10:44:31,"35.47219043","139.58669303","184"
2016-6-8T10:44:33,"35.47219043","139.58669302","184"
2016-6-8T10:44:34,"35.47219045","139.58669305","184"
2016-6-8T10:44:34,"35.47219045","139.58669305","184"
2016-6-8T10:44:35,"35.47219046","139.58669307","184"
2016-6-8T10:44:36,"35.47219044","139.58669302","184"
2016-6-8T10:44:37,"35.47219044","139.58669303","184"
2016-6-8T10:44:40,"35.47219043","139.58669297","184"
2016-6-8T10:44:41,"35.47219043","139.58669297","184"
2016-6-8T10:44:42,"35.47219043","139.58669298","184"
2016-6-8T10:44:45,"35.47219043","139.58669298","184"
2016-6-8T10:44:46,"35.47219043","139.58669298","184"
2016-6-8T10:44:47,"35.47219043","139.58669298","184"
2016-6-8T10:44:48,"35.47219043","139.58669297","184"
2016-6-8T10:44:51,"35.47219043","139.58669295","184"
2016-6-8T10:44:52,"35.47219043","139.58669294","184"
2016-6-8T10:44:53,"35.47219043","139.58669295","184"
2016-6-8T10:44:54,"35.47219043","139.58669295","184"
2016-6-8T10:44:57,"35.47219043","139.58669296","184"
2016-6-8T10:44:58,"35.47219044","139.58669297","184"
2016-6-8T10:44:59,"35.47219044","139.58669297","184"
2016-6-8T10:45:0,"35.47219044","139.58669297","184"
2016-6-8T10:45:3,"35.47219044","139.58669296","184"
2016-6-8T10:45:4,"35.47219044","139.58669296","184"
2016-6-8T10:45:5,"35.47219044","139.58669296","184"
2016-6-8T10:45:8,"35.47219045","139.58669297","184"
2016-6-8T10:45:9,"35.47219048","139.58669303","184"
2016-6-8T10:45:10,"35.47219049","139.58669306","184"
2016-6-8T10:45:11,"35.4721905","139.58669305","184"
2016-6-8T10:45:33,"35.47220904","139.58672235","184"
2016-6-8T10:45:34,"35.47221558","139.58673453","184"
2016-6-8T10:45:37,"35.4722316","139.58676248","184"
2016-6-8T10:45:38,"35.4722343","139.58676431","184"
2016-6-8T10:45:39,"35.47223903","139.58677002","184"
2016-6-8T10:45:40,"35.47224115","139.58677236","184"
2016-6-8T10:45:43,"35.47224526","139.58677606","184"
2016-6-8T10:45:44,"35.47224557","139.58677631","184"
2016-6-8T10:45:45,"35.47224568","139.58677637","184"
2016-6-8T10:45:48,"35.47224595","139.58677653","184"
2016-6-8T10:45:49,"35.47224608","139.58677664","184"
2016-6-8T10:45:50,"35.47224614","139.58677669","184"
2016-6-8T10:45:53,"35.47224637","139.58677689","184"
2016-6-8T10:45:54,"35.47224645","139.58677698","184"
2016-6-8T10:45:55,"35.47224652","139.58677704","184"
2016-6-8T10:45:56,"35.47224661","139.58677713","184"
2016-6-8T10:45:59,"35.47224701","139.5867775","184"
2016-6-8T10:46:0,"35.47224723","139.5867777","184"
2016-6-8T10:46:1,"35.47224732","139.58677778","184"
2016-6-8T10:46:4,"35.47223029","139.58674693","184"
2016-6-8T10:46:5,"35.47220841","139.58671407","184"
2016-6-8T10:46:6,"35.47218546","139.58667701","184"
2016-6-8T10:46:9,"35.47210828","139.58654024","184"
2016-6-8T10:46:10,"35.47208923","139.58650661","184"
2016-6-8T10:46:11,"35.4720689","139.58647157","184"
2016-6-8T10:46:14,"35.47215431","139.58657228","184"
2016-6-8T10:46:15,"35.47219757","139.58662508","184"
2016-6-8T10:46:16,"35.47221533","139.58665342","184"
2016-6-8T10:46:19,"35.47227245","139.58674571","184"
2016-6-8T10:46:20,"35.47228514","139.58675687","184"
2016-6-8T10:46:21,"35.47229391","139.58675332","184"
2016-6-8T10:46:22,"35.47229166","139.58673709","184"
2016-6-8T10:46:25,"35.47227818","139.58666985","184"
2016-6-8T10:46:26,"35.47227284","139.58665211","184"
2016-6-8T10:46:27,"35.47227313","139.58663478","184"
2016-6-8T10:46:30,"35.47231398","139.58661026","184"
2016-6-8T10:46:31,"35.47233869","139.58660689","184"
2016-6-8T10:46:32,"35.47238511","139.58659945","184"
2016-6-8T10:46:33,"35.47243826","139.58659007","184"
2016-6-8T10:46:36,"35.4726559","139.58656698","184"
2016-6-8T10:46:37,"35.47271567","139.58653723","184"
2016-6-8T10:46:38,"35.4728371","139.58649717","184"
2016-6-8T10:46:41,"35.47307745","139.58641183","184"
2016-6-8T10:46:42,"35.47312852","139.58639245","184"
2016-6-8T10:46:45,"35.47322747","139.58636652","184"
2016-6-8T10:46:46,"35.47325502","139.58636201","184"
2016-6-8T10:46:49,"35.47337307","139.58633032","184"
2016-6-8T10:46:50,"35.4734118","139.58631399","184"
